,Street_name,Planning_area,Time_taken
0,AIRPORT BOULEVARD,Bedok,1256
1,AIRPORT BOULEVARD,Bukit Timah,4251
2,AIRPORT BOULEVARD,Bukit Batok,5094
3,AIRPORT BOULEVARD,Bukit Merah,3303
4,AIRPORT BOULEVARD,Downtown Core,2714
5,AIRPORT BOULEVARD,Changi,5739
6,AIRPORT BOULEVARD,Lim Chu Kang,8785
7,AIRPORT BOULEVARD,Boon Lay,6497
8,AIRPORT BOULEVARD,Western Water Catchment,7062
9,AIRPORT BOULEVARD,Woodlands,5472
10,AIRPORT BOULEVARD,Marine Parade,2953
11,AIRPORT BOULEVARD,Newton,3872
12,AIRPORT BOULEVARD,Orchard,2853
13,AIRPORT BOULEVARD,Pasir Ris,2291
14,AIRPORT BOULEVARD,Pioneer,5573
15,AIRPORT BOULEVARD,Punggol,3644
16,AIRPORT BOULEVARD,Queenstown,4389
17,AIRPORT BOULEVARD,Sembawang,5660
18,AIRPORT BOULEVARD,Tampines,1382
19,AIRPORT BOULEVARD,Tanglin,3812
20,AIRPORT BOULEVARD,Tuas,7119
21,AIRPORT BOULEVARD,Southern Islands,6939
22,AIRPORT BOULEVARD,Bukit Panjang,5773
23,AIRPORT BOULEVARD,Bishan,3881
24,AIRPORT BOULEVARD,Ang Mo Kio,4172
25,AIRPORT BOULEVARD,Geylang,2128
26,AIRPORT BOULEVARD,Straits View,3765
27,AIRPORT BOULEVARD,Jurong East,5098
28,AIRPORT BOULEVARD,Hougang,3308
29,AIRPORT BOULEVARD,Jurong West,4802
30,AIRPORT BOULEVARD,Choa Chu Kang,5021
31,AIRPORT BOULEVARD,Kallang,2505
32,AIRPORT BOULEVARD,Mandai,5503
33,AIRPORT BOULEVARD,Marina East,4904
34,AIRPORT BOULEVARD,Marina South,3413
35,AIRPORT BOULEVARD,Museum,2884
36,AIRPORT BOULEVARD,Novena,3636
37,AIRPORT BOULEVARD,Outram,2943
38,AIRPORT BOULEVARD,Paya Lebar,3865
39,AIRPORT BOULEVARD,River Valley,3272
40,AIRPORT BOULEVARD,Rochor,2560
41,AIRPORT BOULEVARD,Seletar,3495
42,AIRPORT BOULEVARD,Sengkang,3131
43,AIRPORT BOULEVARD,Serangoon,4152
44,AIRPORT BOULEVARD,Clementi,4042
45,AIRPORT BOULEVARD,Toa Payoh,4406
46,AIRPORT BOULEVARD,Singapore River,3418
47,AIRPORT BOULEVARD,Sungei Kadut,6538
48,AIRPORT BOULEVARD,Yishun,4750
