"Street_name","accessibility_score"
"AIRPORT BOULEVARD",0.42447528109351
"ALBERT STREET",0.821599589465331
"ALEXANDRA ROAD",0.649899200628049
"ANG MO KIO AVENUE 3",0.513353070050757
"ANSON ROAD",0.684491360323211
"BALESTIER ROAD",0.471991688805555
"BATTERY ROAD",0.612491046728847
"BAYFRONT AVENUE",0.661440386345858
"BEACH ROAD",0.802139916361144
"BEDOK NORTH STREET 1",0.596492962685057
"BEDOK ROAD",0.582757645082968
"BENCOOLEN STREET",0.892829593637624
"BIDADARI PARK DRIVE",0.631549677023878
"BRAS BASAH ROAD",1
"BROOKE ROAD",0.681987060910539
"BUKIT TIMAH ROAD",0.15723797959056
"CAVAN ROAD",0.695477179028142
"CECIL STREET",0.792854136247544
"CENTRAL BOULEVARD",0.582647345366088
"CHANGI BUSINESS PARK CENTRAL 1",0.535455351268849
"CHANGI ROAD",0.599427633805602
"CHIN SWEE ROAD",0.568778350826888
"CHOA CHU KANG AVENUE 4",0.506510425777346
"CHOA CHU KANG NORTH 6",0.689562239327566
"CLAYMORE DRIVE",0.573784102078145
"CLEMENCEAU AVENUE",0.644599068804625
"CLEMENTI AVENUE 3",0.652263282012775
"COLEMAN STREET",0.676638028094515
"COLLYER QUAY",0.620431043298233
"COMMONWEALTH AVENUE WEST",0.581095505396782
"COMPASSVALE BOW",0.61052062335928
"CROSS STREET",0.798454771180675
"CUSCADEN ROAD",0.608384041483003
"EAST COAST ROAD",0.530370368225922
"EASTWOOD ROAD",0.464400435912976
"ENG HOON STREET",0.484978663376286
"ENGGOR STREET",0.6909118974629
"EU TONG SEN STREET",0.763197692903139
"FOCH ROAD",0.64459217389821
"GEYLANG ROAD",0.591348680069783
"GOLDHILL PLAZA",0.646090435979543
"GOPENG STREET",0.682136196569125
"GUILLEMARD ROAD",0.486263344743928
"HANDY ROAD",0.85183350213988
"HAVELOCK ROAD",0.637508360964739
"HIGH STREET",0.758035079072514
"HOLLAND AVENUE",0.663818438494903
"HOUGANG AVENUE 10",0.522067896240692
"HOUGANG STREET 51",0.546737184122752
"HOUGANG STREET 91",0.435137579646128
"IRRAWADDY ROAD",0.650010365763872
"JALAN ANAK BUKIT",0.622520939517298
"JALAN BESAR",0.513905444676524
"JALAN JURONG KECHIL",0.685425271873847
"JALAN LEGUNDI",0.504667441005222
"JALAN MASJID",0.641774821753784
"JALAN SULTAN",0.754555759401507
"JELEBU ROAD",0.961662343834721
"JOO CHIAT ROAD",0.469667735187011
"JOO KOON CIRCLE",0.406172548453455
"JURONG EAST STREET 21",0.595154619644392
"JURONG GATEWAY ROAD",0.739970337275083
"JURONG WEST CENTRAL 2",0.578062615413638
"JURONG WEST CENTRAL 3",0.628347908146046
"KALLANG AVENUE",0.665468705895558
"KELANTAN LANE",0.587015874921921
"KEPPEL ROAD",0.420044252133564
"KITCHENER ROAD",0.520736312977086
"KOEK ROAD",0.633145303248367
"LAVENDER STREET",0.683589771558249
"LORONG 22 GEYLANG",0.53169473185027
"LORONG 4 TOA PAYOH",0.564745826732998
"LORONG KILAT",0.650282062641183
"LORONG LIPUT",0.652043247488165
"MACPHERSON ROAD",0.669551978606169
"MAJU AVENUE",0.379902764912507
"MARINA BOULEVARD",0.559667202093359
"MARINA VIEW",0.814208030890968
"MARINE PARADE ROAD",0.641220586115022
"MARITIME SQUARE",0.603064198388931
"MARKET STREET",0.570649745121463
"MARNE ROAD",0.583166232136887
"MERCHANT ROAD",0.65484311365562
"MIDDLE ROAD",0.857084846566245
"MOHAMED SULTAN ROAD",0.553746225595981
"MOUNTBATTEN ROAD",0.582028486555656
"NEW BRIDGE ROAD",0.834641265325167
"NEW UPPER CHANGI ROAD",0.495120252978029
"NORTH BRIDGE ROAD",0.610485695171852
"NORTH BUONA VISTA DRIVE",0.649733632600507
"NORTHPOINT DRIVE",0.714670223518366
"OCEAN WAY",0
"ORCHARD ROAD",0.557887603116613
"ORCHARD TURN",0.678570912453726
"OUTRAM ROAD",0.706682446873311
"PASIR PANJANG ROAD",0.632683982966661
"PASIR RIS CENTRAL",0.478721264801357
"PASIR RIS CLOSE",0.518159457965003
"PAYA LEBAR ROAD",0.664011382360733
"PENANG ROAD",0.618613785219693
"PETIR ROAD",0.731366127984069
"PUNGGOL CENTRAL",0.886004917784821
"QUEENSWAY",0.511158776256118
"RACE COURSE ROAD",0.521491483253486
"RAFFLES AVENUE",0.561182864457177
"RAFFLES BOULEVARD",0.647243169505904
"RAFFLES LINK",0.716747447691952
"RAFFLES PLACE",0.733362136239806
"RAFFLES QUAY",0.892406528173522
"RANGOON ROAD",0.589549000926522
"RIVER VALLEY ROAD",0.624318755832011
"RIVERVALE CRESCENT",0.717158651794815
"ROBERTSON QUAY",0.52259391153108
"ROBINSON ROAD",0.862386600426974
"ROCHOR CANAL ROAD",0.720809520323304
"ROCHOR ROAD",0.874543723938812
"SAM LEONG ROAD",0.578115023053207
"SCOTTS ROAD",0.454567125532819
"SELEGIE ROAD",0.692603479842219
"SEMBAWANG DRIVE",0.482201822755899
"SEMBAWANG ROAD",0.481270369515414
"SENGKANG SQUARE",0.659335537318223
"SENGKANG WEST AVENUE",0.802784705869169
"SERANGOON CENTRAL",0.576978629434871
"SERANGOON ROAD",0.477307099871472
"SHENTON WAY",0.729689887602273
"SIMS AVENUE",0.685378081883091
"SIMS DRIVE",0.646991080684517
"SIN MING ROAD",0.558001072601969
"SINARAN DRIVE",0.608276513248354
"SOMERSET ROAD",0.654356584229207
"SOUTH BRIDGE ROAD",0.894762066197249
"SOUTH BUONA VISTA ROAD",0.555639177013754
"STADIUM WALK",0.655124277544522
"STAMFORD ROAD",0.823076093443872
"TAI SENG STREET",0.613023417222653
"TAI THONG CRESCENT",0.71824486725866
"TAMPINES CENTRAL 1",0.710397129938177
"TAMPINES CENTRAL 5",0.665864699547627
"TAMPINES STREET 32",0.672274834020958
"TAN QUEE LAN STREET",0.81239394011938
"TANGLIN ROAD",0.507146732117479
"TANJONG KATONG ROAD",0.518172883581954
"TELOK AYER STREET",0.87865348851944
"TELOK KURAU ROAD",0.503819803891974
"TEMASEK BOULEVARD",0.762565483935646
"TESSENSOHN ROAD",0.593523205368252
"THOMSON ROAD",0.53026070474499
"TIONG BAHRU ROAD",0.68260873084844
"TRAS STREET",0.695603571338523
"UNITY STREET",0.649325987789807
"UPPER BUKIT TIMAH ROAD",0.79768901594594
"UPPER CIRCULAR ROAD",0.759336255102211
"UPPER CROSS STREET",0.669635246237707
"UPPER SERANGOON ROAD",0.621311234530556
"UPPER THOMSON ROAD",0.474959907940575
"VICTORIA STREET",0.810944911088321
"WEST COAST DRIVE",0.489125601341386
"WEST COAST ROAD",0.493325508054487
"WILKIE ROAD",0.529336147166335
"WOODLANDS AVENUE 1",0.515800584289812
"WOODLANDS ROAD",0.528209052362139
"WOODLANDS SQUARE",0.687316220701669
"YIO CHU KANG ROAD",0.42892717015785
"YISHUN AVENUE 2",0.646747817524215
"YISHUN AVENUE 9",0.505002137894433
"YISHUN CENTRAL 1",0.716512691546192
"YISHUN RING ROAD",0.534700627198859
