"Street (Destination)","weighted_diff_sum"
"AIRPORT BOULEVARD",2050.72749211285
"ALBERT STREET",1406.46835243816
"ALEXANDRA ROAD",1281.19861071699
"ANG MO KIO AVENUE 3",1634.20338473792
"ANSON ROAD",1305.4050406221
"BALESTIER ROAD",1553.96460499865
"BATTERY ROAD",912.724697331365
"BAYFRONT AVENUE",1096.08586322263
"BEACH ROAD",1116.24793193324
"BEDOK NORTH STREET 1",1683.40131583654
"BEDOK ROAD",2000.49579709696
"BENCOOLEN STREET",1445.82701208767
"BIDADARI PARK DRIVE",1367.48117695593
"BRAS BASAH ROAD",1216.55371965862
"BROOKE ROAD",1945.23572026431
"BUKIT TIMAH ROAD",3055.63425085787
"CAVAN ROAD",1336.5758203709
"CECIL STREET",1270.45156467225
"CENTRAL BOULEVARD",1282.27387427776
"CHANGI BUSINESS PARK CENTRAL 1",2199.31846678097
"CHANGI ROAD",1660.738561546
"CHIN SWEE ROAD",1341.16727673344
"CHOA CHU KANG AVENUE 4",1943.73027735583
"CHOA CHU KANG NORTH 6",1413.14455363381
"CLAYMORE DRIVE",1526.52086666842
"CLEMENCEAU AVENUE",1281.49214146554
"CLEMENTI AVENUE 3",1360.46474449926
"COLEMAN STREET",1014.34273034889
"COLLYER QUAY",962.832725651182
"COMMONWEALTH AVENUE WEST",1300.9426640563
"COMPASSVALE BOW",1361.80072635703
"CROSS STREET",1119.08009719735
"CUSCADEN ROAD",1377.90540666217
"EAST COAST ROAD",2190.75606469967
"EASTWOOD ROAD",1975.18754843771
"ENG HOON STREET",1377.26555908745
"ENGGOR STREET",1385.07580010158
"EU TONG SEN STREET",1111.00570402501
"FOCH ROAD",1377.10581061778
"GEYLANG ROAD",1577.32271379959
"GOLDHILL PLAZA",1375.8528638164
"GOPENG STREET",1252.48030895212
"GUILLEMARD ROAD",1647.0831375953
"HANDY ROAD",1106.20808245082
"HAVELOCK ROAD",1478.40000667695
"HIGH STREET",1203.07443848023
"HOLLAND AVENUE",1236.99177542548
"HOUGANG AVENUE 10",1757.81411841575
"HOUGANG STREET 51",1841.75753362919
"HOUGANG STREET 91",1911.93342840042
"IRRAWADDY ROAD",1373.94526806771
"JALAN ANAK BUKIT",1663.80939447196
"JALAN BESAR",1421.0175890002
"JALAN JURONG KECHIL",1608.11966529392
"JALAN LEGUNDI",1824.26462908337
"JALAN MASJID",1391.93606818122
"JALAN SULTAN",1401.54658724273
"JELEBU ROAD",1835.26703040159
"JOO CHIAT ROAD",1822.98621447802
"JOO KOON CIRCLE",2351.93914434856
"JURONG EAST STREET 21",1666.41855668136
"JURONG GATEWAY ROAD",1280.73630330533
"JURONG WEST CENTRAL 2",1538.03090475089
"JURONG WEST CENTRAL 3",1576.37606980277
"KALLANG AVENUE",1442.62648651613
"KELANTAN LANE",1471.18421950004
"KEPPEL ROAD",1591.6427162796
"KITCHENER ROAD",1424.34321442794
"KOEK ROAD",1260.54073775554
"LAVENDER STREET",1357.84555255358
"LORONG 22 GEYLANG",1644.78063826895
"LORONG 4 TOA PAYOH",1606.49022661099
"LORONG KILAT",1618.83878021619
"LORONG LIPUT",1394.22024881186
"MACPHERSON ROAD",1603.54679947443
"MAJU AVENUE",1604.80875062298
"MARINA BOULEVARD",1623.29998116146
"MARINA VIEW",1173.61790901699
"MARINE PARADE ROAD",1983.730034124
"MARITIME SQUARE",1395.47575670139
"MARKET STREET",1812.76410327338
"MARNE ROAD",1313.80535730041
"MERCHANT ROAD",1414.75006736568
"MIDDLE ROAD",1406.03060190341
"MOHAMED SULTAN ROAD",1604.08161381938
"MOUNTBATTEN ROAD",1683.78396720663
"NEW BRIDGE ROAD",1192.26452654446
"NEW UPPER CHANGI ROAD",1846.60878066927
"NORTH BRIDGE ROAD",1400.83991291346
"NORTH BUONA VISTA DRIVE",1009.79154793217
"NORTHPOINT DRIVE",1483.67055678629
"OCEAN WAY",3642.37920320112
"ORCHARD ROAD",NA
"ORCHARD TURN",1182.52402629765
"OUTRAM ROAD",997.489780685961
"PASIR PANJANG ROAD",1517.38419422301
"PASIR RIS CENTRAL",2083.33653986021
"PASIR RIS CLOSE",2041.7308377429
"PAYA LEBAR ROAD",1076.73645830601
"PENANG ROAD",1158.69509220156
"PETIR ROAD",2118.91883449027
"PUNGGOL CENTRAL",1780.03302706789
"QUEENSWAY",1292.66325267734
"RACE COURSE ROAD",1501.16428164339
"RAFFLES AVENUE",1476.17627869599
"RAFFLES BOULEVARD",1401.09160301703
"RAFFLES LINK",1063.69681390141
"RAFFLES PLACE",783.932982475385
"RAFFLES QUAY",1102.63018984006
"RANGOON ROAD",1459.86099777514
"RIVER VALLEY ROAD",1507.06059811185
"RIVERVALE CRESCENT",1774.48004425866
"ROBERTSON QUAY",1713.67165371417
"ROBINSON ROAD",1381.13419481916
"ROCHOR CANAL ROAD",1245.98759279175
"ROCHOR ROAD",1170.06364327905
"SAM LEONG ROAD",1420.92193927312
"SCOTTS ROAD",1388.63641371351
"SELEGIE ROAD",1408.71579313848
"SEMBAWANG DRIVE",1889.10073374937
"SEMBAWANG ROAD",1550.61854571209
"SENGKANG SQUARE",1482.98470262523
"SENGKANG WEST AVENUE",1825.40294930524
"SERANGOON CENTRAL",1316.44793050246
"SERANGOON ROAD",1379.43730699435
"SHENTON WAY",1204.19843902392
"SIMS AVENUE",1279.25713420436
"SIMS DRIVE",1661.98164315028
"SIN MING ROAD",1715.72858665611
"SINARAN DRIVE",1374.65801126974
"SOMERSET ROAD",1073.16825919929
"SOUTH BRIDGE ROAD",1254.64183396804
"SOUTH BUONA VISTA ROAD",1979.85467136279
"STADIUM WALK",1318.28003615093
"STAMFORD ROAD",1134.09412595117
"TAI SENG STREET",1276.4133271969
"TAI THONG CRESCENT",1508.63847641486
"TAMPINES CENTRAL 1",1709.4061017806
"TAMPINES CENTRAL 5",1558.57042873188
"TAMPINES STREET 32",2243.30042231724
"TAN QUEE LAN STREET",1114.42764449044
"TANGLIN ROAD",1442.38124444084
"TANJONG KATONG ROAD",1637.50239297203
"TELOK AYER STREET",1360.41745975348
"TELOK KURAU ROAD",1904.71976592513
"TEMASEK BOULEVARD",1265.81887335968
"TESSENSOHN ROAD",1447.87438029536
"THOMSON ROAD",1499.24438360999
"TIONG BAHRU ROAD",1262.44492587391
"TRAS STREET",1332.90704251549
"UNITY STREET",1497.47628131908
"UPPER BUKIT TIMAH ROAD",1774.0754042537
"UPPER CIRCULAR ROAD",1180.99629667607
"UPPER CROSS STREET",1233.77516555265
"UPPER SERANGOON ROAD",1564.23350971616
"UPPER THOMSON ROAD",1604.65348286527
"VICTORIA STREET",1003.22687091782
"WEST COAST DRIVE",1679.76042856496
"WEST COAST ROAD",1926.81366056759
"WILKIE ROAD",1792.69081656743
"WOODLANDS AVENUE 1",2134.21393193801
"WOODLANDS ROAD",2344.13949822703
"WOODLANDS SQUARE",1343.62529658784
"YIO CHU KANG ROAD",1584.30745934809
"YISHUN AVENUE 2",1120.475332238
"YISHUN AVENUE 9",1592.31399560752
"YISHUN CENTRAL 1",1335.24652023474
"YISHUN RING ROAD",1587.47115675815
